entry_time,direction,entry_price,sl,tp,lots,risk_usd,commission,slippage_entry,fill_prob,filled,exit_time,exit_price,exit_reason,pnl_gross,pnl_net,confluence_count,confidence,manipulation_type
1755244800.0,BULL,3387.4080974155404,3381.17138,3411.25709,0.01,3.540059195658687,0.1,0.00819507179052682,0.85,True,1755536400.0,3381.17138,SL,-6.23671741554017,-6.3367174155401695,4,0.9,LIQUIDITY_SWEEP
1755774000.0,BEAR,3376.094758905231,3385.61081,3343.67655,0.01,3.9727015098261536,0.1,0.005338751018650838,0.85,True,1755788400.0,3385.61081,SL,-9.516051094768954,-9.616051094768954,4,0.95,JUDAS_HIGH
1756814400.0,BULL,3548.0079125462125,3512.75928,3644.46143,0.01,3.4868989550877063,0.1,0.007912546212715855,0.85,True,1757084400.0,3644.46143,TP,96.4535174537873,96.3535174537873,5,1.0,LIQUIDITY_SWEEP
1758110400.0,BEAR,3713.8945925616845,3723.48352,3661.43311,0.01,8.299574827777072,0.1,0.005309782065684034,0.75,True,1758495600.0,3723.48352,SL,-9.58892743831575,-9.68892743831575,4,0.95,LIQUIDITY_SWEEP
1758628800.0,BULL,3816.2808706270544,3781.68219,3885.53595,0.01,7.810128455861285,0.1,0.005201596067672005,0.75,True,1758733200.0,3781.68219,SL,-34.598680627054364,-34.698680627054365,4,0.9,JUDAS_LOW
1758643200.0,BULL,3806.072292031064,3781.59933,3865.60163,0.01,7.8051284558612855,0.1,0.009146923460998371,0.75,True,1758733200.0,3781.59933,SL,-24.47296203106407,-24.572962031064073,4,0.9,JUDAS_LOW
1758718800.0,BULL,3794.5058218877957,3782.04571,3831.95506,0.01,7.800128455861286,0.1,0.0058218877959071305,0.85,True,1758733200.0,3782.04571,SL,-12.460111887795847,-12.560111887795847,4,0.9,LIQUIDITY_SWEEP
1759402800.0,BULL,3905.5140262011555,3881.86576,3954.86832,0.01,4.203540728565573,0.1,0.011490563020133451,0.75,True,1759417200.0,3881.86576,SL,-23.648266201155366,-23.748266201155367,4,0.9,JUDAS_HIGH
1759417200.0,BEAR,3866.3177825936796,3924.66719,3744.71189,0.01,4.198540728565573,0.1,0.016878413271081943,0.75,True,1759712400.0,3924.66719,SL,-58.34940740632055,-58.44940740632055,4,0.95,JUDAS_HIGH
1759741200.0,BULL,3965.939406914825,3958.02505,3948.50012,0.01,0.0836570481917768,0.1,0.0034456604891512045,0.85,True,1759741200.0,3948.50012,TP,-17.43928691482506,-17.539286914825063,4,0.85,JUDAS_HIGH
1760594400.0,BULL,4217.411205572485,4197.16266,4260.70575,0.01,-0.7983072975494764,0.1,0.003916703371585342,0.75,True,1760623200.0,4260.70575,TP,43.294544427514666,43.194544427514664,5,1.0,JUDAS_LOW
1760961600.0,BULL,4287.789620042584,4256.81429,4360.02731,0.01,1.356419923826257,0.1,0.009319227820440779,0.75,True,1760976000.0,4360.02731,TP,72.23768995741648,72.13768995741648,4,0.9,JUDAS_LOW
1761051600.0,BEAR,4236.185248374152,4289.69694,4096.00976,0.01,4.958304421697082,0.1,0.009898585486777573,0.75,True,1761127200.0,4096.00976,TP,140.17548837415234,140.07548837415234,4,0.95,JUDAS_HIGH
